title,authors,paper_url,github_url,github_stars,published_date,source_url,source
Beyond BLEU: A Case for Redefining Sign Language Translation Benchmarks,Oline Ranum; Edward Fish; Simon Hadfield; Richard Bowden,http://arxiv.org/abs/2609.03734v1,,,2026-09-03T12:05:29Z,http://arxiv.org/abs/2609.03734v1,arXiv
"Proactive Service Agents: A Unified Decision Framework, Methods, and Evaluation",Yan Tang; Tingyu Cao; Yuanbo Tang; Huaze Tang; Keer Hu,http://arxiv.org/abs/2609.03727v1,,,2026-09-03T12:00:34Z,http://arxiv.org/abs/2609.03727v1,arXiv
Can LLMs Extract Architectural Design Decisions from Source Code Commits? - A Preliminary Exploratory Study,Amey Karan; Rudra Dhar; Mohamed Soliman; Karthik Vaidhyanathan,http://arxiv.org/abs/2609.03721v1,,,2026-09-03T11:54:27Z,http://arxiv.org/abs/2609.03721v1,arXiv
Artificial Intelligence for Energy Optimization in Data Centers,Mohammed Basharath Ullah; Summaiya Unnisa Begum; Mohammed Nadeem Ullah,http://arxiv.org/abs/2609.03716v1,,,2026-09-03T11:51:15Z,http://arxiv.org/abs/2609.03716v1,arXiv
Counterfactual Routing Using Integer Programming with Constraint Generation,Daniël Vos; Sterre Lutz,http://arxiv.org/abs/2609.03707v1,,,2026-09-03T11:43:53Z,http://arxiv.org/abs/2609.03707v1,arXiv
Synthetic Semantic Supervision for Contrastive Code Representation Learning in Small Transformers: An Empirical Study,Kenneth Paulsen; Florian Tambon; Mike Papadakis; Shin Yoo,http://arxiv.org/abs/2609.03702v1,,,2026-09-03T11:41:09Z,http://arxiv.org/abs/2609.03702v1,arXiv
Symmetries and Causality: Causal Effect Identification Beyond IID Data,Martin Rabel; Jakob Runge,http://arxiv.org/abs/2609.03697v1,,,2026-09-03T11:34:44Z,http://arxiv.org/abs/2609.03697v1,arXiv
Out-of-Distribution Generalisation with Sequence Models in Offline Multi-Agent Reinforcement Learning,Oussama Hidaoui; Omer Ebead; Ulrich Armel Mbou Sob; Siddarth Singh; Juan Claude Formanek; Felix Chalumeau; Omayma Mahjoub; Sasha Abramowitz; Ruan John de Kock; Wiem Khlifi; Louay Ben Nessir; Simon Verster Du Toit; Daniel Rajaonarivonivelomanantsoa; Asim Awad Osman; Arnol Manuel Fokam; Refiloe Shabe; Arnu Pretorius,http://arxiv.org/abs/2609.03667v1,,,2026-09-03T11:04:23Z,http://arxiv.org/abs/2609.03667v1,arXiv
Cross-Dataset Transfer and Reliability of Explainable Artificial Intelligence for RhythmFormer Remote Photoplethysmography,Louis Chen; Torbjörn E. M. Nordling,http://arxiv.org/abs/2609.03663v1,,,2026-09-03T10:59:45Z,http://arxiv.org/abs/2609.03663v1,arXiv
"Local Updates, Global Learning (LUGL): Playing Games with non-incremental Learners",David Milec; Spyridon Samothrakis; Michael Fairbank; Dennis J. N. J. Soemers,http://arxiv.org/abs/2609.03660v1,,,2026-09-03T10:58:09Z,http://arxiv.org/abs/2609.03660v1,arXiv
Enhancing Financial Question Answering: A Novel Benchmark Dataset of Banks' financial statements,Arianna Miola; Bruno Spaccavento; Lorenzo Silotto; Marco Bianchetti; Luca Cagliero,http://arxiv.org/abs/2609.03654v1,,,2026-09-03T10:52:56Z,http://arxiv.org/abs/2609.03654v1,arXiv
Analysis of Prompt Engineering for Drug Toxicity Prediction,Mia MacGregor; Aakash Welgamage Don; Mark Bartlett,http://arxiv.org/abs/2609.03635v1,,,2026-09-03T10:28:55Z,http://arxiv.org/abs/2609.03635v1,arXiv
</think> Doesn't Stop Reasoning: Analysis of Spurious CoT Termination,Seunghee Koh; Sungjae Choi; Minchan Kwon; Sunghyun Baek; Junmo Kim,http://arxiv.org/abs/2609.03633v1,,,2026-09-03T10:25:23Z,http://arxiv.org/abs/2609.03633v1,arXiv
